DepartDate,Origin,Destination,Carrier
03/02/2019,ABZ,BHD,BE
03/06/2019,ABZ,BHD,BE
03/07/2019,ABZ,BHD,BE
04/04/2019,ABZ,BHD,BE
04/05/2019,ABZ,BHD,BE
05/01/2019,ABZ,BHD,BE
05/03/2019,ABZ,BHD,BE
07/01/2019,ABZ,BHD,BE
11/01/2019,ABZ,BHD,BE
18/01/2019,ABZ,BHD,BE
03/02/2019,ABZ,BHX,BE
03/06/2019,ABZ,BHX,BE
03/07/2019,ABZ,BHX,BE
04/04/2019,ABZ,BHX,BE
04/05/2019,ABZ,BHX,BE
05/01/2019,ABZ,BHX,BE
05/03/2019,ABZ,BHX,BE
07/01/2019,ABZ,BHX,BE
11/01/2019,ABZ,BHX,BE
18/01/2019,ABZ,BHX,BE
04/05/2019,ABZ,JER,BE
03/02/2019,ABZ,LHR,BE
03/06/2019,ABZ,LHR,BE
03/07/2019,ABZ,LHR,BE
04/04/2019,ABZ,LHR,BE
04/05/2019,ABZ,LHR,BE
05/01/2019,ABZ,LHR,BE
05/03/2019,ABZ,LHR,BE
07/01/2019,ABZ,LHR,BE
11/01/2019,ABZ,LHR,BE
18/01/2019,ABZ,LHR,BE
03/02/2019,ABZ,MAN,BE
03/06/2019,ABZ,MAN,BE
03/07/2019,ABZ,MAN,BE
04/04/2019,ABZ,MAN,BE
04/05/2019,ABZ,MAN,BE
05/01/2019,ABZ,MAN,BE
05/03/2019,ABZ,MAN,BE
07/01/2019,ABZ,MAN,BE
11/01/2019,ABZ,MAN,BE
18/01/2019,ABZ,MAN,BE
11/01/2019,ABZ,SOU,BE
18/01/2019,ABZ,SOU,BE
03/06/2019,AGP,DSA,BE
04/05/2019,AGP,DSA,BE
03/06/2019,AGP,EXT,BE
04/04/2019,AGP,EXT,BE
04/05/2019,AGP,EXT,BE
07/01/2019,AGP,EXT,BE
11/01/2019,AGP,EXT,BE
18/01/2019,AGP,EXT,BE
03/06/2019,AGP,NWI,BE
04/04/2019,AGP,NWI,BE
03/06/2019,AGP,SOU,BE
03/07/2019,AGP,SOU,BE
04/05/2019,AGP,SOU,BE
05/01/2019,ALC,DSA,BE
05/03/2019,ALC,DSA,BE
03/02/2019,ALC,EXT,BE
03/07/2019,ALC,EXT,BE
05/03/2019,ALC,EXT,BE
03/06/2019,ALC,SOU,BE
03/07/2019,ALC,SOU,BE
05/01/2019,ALC,SOU,BE
03/02/2019,AMS,BHX,BE
03/06/2019,AMS,BHX,BE
03/07/2019,AMS,BHX,BE
04/04/2019,AMS,BHX,BE
04/05/2019,AMS,BHX,BE
05/01/2019,AMS,BHX,BE
05/03/2019,AMS,BHX,BE
07/01/2019,AMS,BHX,BE
11/01/2019,AMS,BHX,BE
18/01/2019,AMS,BHX,BE
03/02/2019,AMS,DSA,BE
03/06/2019,AMS,DSA,BE
03/07/2019,AMS,DSA,BE
04/04/2019,AMS,DSA,BE
04/05/2019,AMS,DSA,BE
05/01/2019,AMS,DSA,BE
05/03/2019,AMS,DSA,BE
07/01/2019,AMS,DSA,BE
11/01/2019,AMS,DSA,BE
18/01/2019,AMS,DSA,BE
03/02/2019,AMS,EMA,BE
03/06/2019,AMS,EMA,BE
03/07/2019,AMS,EMA,BE
04/04/2019,AMS,EMA,BE
04/05/2019,AMS,EMA,BE
05/01/2019,AMS,EMA,BE
05/03/2019,AMS,EMA,BE
07/01/2019,AMS,EMA,BE
11/01/2019,AMS,EMA,BE
18/01/2019,AMS,EMA,BE
03/02/2019,AMS,EXT,BE
03/06/2019,AMS,EXT,BE
03/07/2019,AMS,EXT,BE
04/04/2019,AMS,EXT,BE
04/05/2019,AMS,EXT,BE
05/01/2019,AMS,EXT,BE
05/03/2019,AMS,EXT,BE
07/01/2019,AMS,EXT,BE
11/01/2019,AMS,EXT,BE
18/01/2019,AMS,EXT,BE
03/02/2019,AMS,LCY,BE
03/06/2019,AMS,LCY,BE
03/07/2019,AMS,LCY,BE
04/04/2019,AMS,LCY,BE
04/05/2019,AMS,LCY,BE
05/01/2019,AMS,LCY,BE
05/03/2019,AMS,LCY,BE
07/01/2019,AMS,LCY,BE
11/01/2019,AMS,LCY,BE
18/01/2019,AMS,LCY,BE
03/02/2019,AMS,MAN,BE
03/06/2019,AMS,MAN,BE
03/07/2019,AMS,MAN,BE
04/04/2019,AMS,MAN,BE
04/05/2019,AMS,MAN,BE
05/01/2019,AMS,MAN,BE
05/03/2019,AMS,MAN,BE
07/01/2019,AMS,MAN,BE
11/01/2019,AMS,MAN,BE
18/01/2019,AMS,MAN,BE
03/02/2019,AMS,SOU,BE
03/06/2019,AMS,SOU,BE
03/07/2019,AMS,SOU,BE
04/04/2019,AMS,SOU,BE
04/05/2019,AMS,SOU,BE
05/01/2019,AMS,SOU,BE
05/03/2019,AMS,SOU,BE
07/01/2019,AMS,SOU,BE
11/01/2019,AMS,SOU,BE
18/01/2019,AMS,SOU,BE
03/02/2019,BHD,ABZ,BE
03/06/2019,BHD,ABZ,BE
03/07/2019,BHD,ABZ,BE
04/04/2019,BHD,ABZ,BE
04/05/2019,BHD,ABZ,BE
05/01/2019,BHD,ABZ,BE
05/03/2019,BHD,ABZ,BE
07/01/2019,BHD,ABZ,BE
11/01/2019,BHD,ABZ,BE
18/01/2019,BHD,ABZ,BE
03/02/2019,BHD,BHX,BE
03/06/2019,BHD,BHX,BE
03/07/2019,BHD,BHX,BE
04/04/2019,BHD,BHX,BE
04/05/2019,BHD,BHX,BE
05/01/2019,BHD,BHX,BE
05/03/2019,BHD,BHX,BE
07/01/2019,BHD,BHX,BE
11/01/2019,BHD,BHX,BE
18/01/2019,BHD,BHX,BE
03/02/2019,BHD,CWL,BE
03/06/2019,BHD,CWL,BE
03/07/2019,BHD,CWL,BE
04/04/2019,BHD,CWL,BE
05/01/2019,BHD,CWL,BE
05/03/2019,BHD,CWL,BE
07/01/2019,BHD,CWL,BE
11/01/2019,BHD,CWL,BE
18/01/2019,BHD,CWL,BE
03/02/2019,BHD,DSA,BE
03/06/2019,BHD,DSA,BE
03/07/2019,BHD,DSA,BE
04/04/2019,BHD,DSA,BE
07/01/2019,BHD,DSA,BE
11/01/2019,BHD,DSA,BE
18/01/2019,BHD,DSA,BE
03/02/2019,BHD,EDI,BE
03/06/2019,BHD,EDI,BE
03/07/2019,BHD,EDI,BE
04/04/2019,BHD,EDI,BE
04/05/2019,BHD,EDI,BE
05/01/2019,BHD,EDI,BE
05/03/2019,BHD,EDI,BE
07/01/2019,BHD,EDI,BE
11/01/2019,BHD,EDI,BE
18/01/2019,BHD,EDI,BE
03/02/2019,BHD,EMA,BE
03/06/2019,BHD,EMA,BE
03/07/2019,BHD,EMA,BE
04/04/2019,BHD,EMA,BE
04/05/2019,BHD,EMA,BE
05/01/2019,BHD,EMA,BE
05/03/2019,BHD,EMA,BE
07/01/2019,BHD,EMA,BE
11/01/2019,BHD,EMA,BE
18/01/2019,BHD,EMA,BE
03/02/2019,BHD,EXT,BE
03/06/2019,BHD,EXT,BE
03/07/2019,BHD,EXT,BE
04/04/2019,BHD,EXT,BE
04/05/2019,BHD,EXT,BE
05/01/2019,BHD,EXT,BE
07/01/2019,BHD,EXT,BE
11/01/2019,BHD,EXT,BE
18/01/2019,BHD,EXT,BE
03/02/2019,BHD,GLA,BE
03/06/2019,BHD,GLA,BE
03/07/2019,BHD,GLA,BE
04/04/2019,BHD,GLA,BE
04/05/2019,BHD,GLA,BE
05/01/2019,BHD,GLA,BE
05/03/2019,BHD,GLA,BE
07/01/2019,BHD,GLA,BE
11/01/2019,BHD,GLA,BE
18/01/2019,BHD,GLA,BE
03/02/2019,BHD,INV,BE
03/06/2019,BHD,INV,BE
03/07/2019,BHD,INV,BE
04/04/2019,BHD,INV,BE
04/05/2019,BHD,INV,BE
05/01/2019,BHD,INV,BE
07/01/2019,BHD,INV,BE
11/01/2019,BHD,INV,BE
18/01/2019,BHD,INV,BE
03/02/2019,BHD,LBA,BE
03/06/2019,BHD,LBA,BE
03/07/2019,BHD,LBA,BE
04/04/2019,BHD,LBA,BE
04/05/2019,BHD,LBA,BE
05/01/2019,BHD,LBA,BE
05/03/2019,BHD,LBA,BE
07/01/2019,BHD,LBA,BE
11/01/2019,BHD,LBA,BE
18/01/2019,BHD,LBA,BE
03/02/2019,BHD,LCY,BE
03/06/2019,BHD,LCY,BE
03/07/2019,BHD,LCY,BE
04/04/2019,BHD,LCY,BE
04/05/2019,BHD,LCY,BE
05/01/2019,BHD,LCY,BE
05/03/2019,BHD,LCY,BE
07/01/2019,BHD,LCY,BE
11/01/2019,BHD,LCY,BE
18/01/2019,BHD,LCY,BE
03/02/2019,BHD,MAN,BE
03/06/2019,BHD,MAN,BE
03/07/2019,BHD,MAN,BE
04/04/2019,BHD,MAN,BE
04/05/2019,BHD,MAN,BE
05/01/2019,BHD,MAN,BE
05/03/2019,BHD,MAN,BE
07/01/2019,BHD,MAN,BE
11/01/2019,BHD,MAN,BE
18/01/2019,BHD,MAN,BE
03/07/2019,BHD,NQY,BE
03/02/2019,BHD,SOU,BE
03/06/2019,BHD,SOU,BE
03/07/2019,BHD,SOU,BE
04/04/2019,BHD,SOU,BE
04/05/2019,BHD,SOU,BE
05/01/2019,BHD,SOU,BE
05/03/2019,BHD,SOU,BE
07/01/2019,BHD,SOU,BE
11/01/2019,BHD,SOU,BE
18/01/2019,BHD,SOU,BE
03/02/2019,BHX,ABZ,BE
03/06/2019,BHX,ABZ,BE
03/07/2019,BHX,ABZ,BE
04/04/2019,BHX,ABZ,BE
04/05/2019,BHX,ABZ,BE
05/01/2019,BHX,ABZ,BE
05/03/2019,BHX,ABZ,BE
07/01/2019,BHX,ABZ,BE
11/01/2019,BHX,ABZ,BE
18/01/2019,BHX,ABZ,BE
03/02/2019,BHX,AMS,BE
03/06/2019,BHX,AMS,BE
03/07/2019,BHX,AMS,BE
04/04/2019,BHX,AMS,BE
04/05/2019,BHX,AMS,BE
05/01/2019,BHX,AMS,BE
05/03/2019,BHX,AMS,BE
07/01/2019,BHX,AMS,BE
11/01/2019,BHX,AMS,BE
18/01/2019,BHX,AMS,BE
03/02/2019,BHX,BHD,BE
03/06/2019,BHX,BHD,BE
03/07/2019,BHX,BHD,BE
04/04/2019,BHX,BHD,BE
04/05/2019,BHX,BHD,BE
05/01/2019,BHX,BHD,BE
05/03/2019,BHX,BHD,BE
07/01/2019,BHX,BHD,BE
11/01/2019,BHX,BHD,BE
18/01/2019,BHX,BHD,BE
03/06/2019,BHX,BOD,BE
03/07/2019,BHX,BOD,BE
04/05/2019,BHX,BOD,BE
03/02/2019,BHX,CDG,BE
03/06/2019,BHX,CDG,BE
03/07/2019,BHX,CDG,BE
04/04/2019,BHX,CDG,BE
04/05/2019,BHX,CDG,BE
05/01/2019,BHX,CDG,BE
05/03/2019,BHX,CDG,BE
07/01/2019,BHX,CDG,BE
11/01/2019,BHX,CDG,BE
18/01/2019,BHX,CDG,BE
05/01/2019,BHX,CMF,BE
03/02/2019,BHX,DUS,BE
03/06/2019,BHX,DUS,BE
03/07/2019,BHX,DUS,BE
04/04/2019,BHX,DUS,BE
04/05/2019,BHX,DUS,BE
05/01/2019,BHX,DUS,BE
05/03/2019,BHX,DUS,BE
07/01/2019,BHX,DUS,BE
11/01/2019,BHX,DUS,BE
18/01/2019,BHX,DUS,BE
03/02/2019,BHX,EDI,BE
03/06/2019,BHX,EDI,BE
03/07/2019,BHX,EDI,BE
04/04/2019,BHX,EDI,BE
04/05/2019,BHX,EDI,BE
05/01/2019,BHX,EDI,BE
05/03/2019,BHX,EDI,BE
07/01/2019,BHX,EDI,BE
11/01/2019,BHX,EDI,BE
18/01/2019,BHX,EDI,BE
04/04/2019,BHX,EGC,BE
04/05/2019,BHX,EGC,BE
03/02/2019,BHX,GCI,BE
03/06/2019,BHX,GCI,BE
03/07/2019,BHX,GCI,BE
04/04/2019,BHX,GCI,BE
04/05/2019,BHX,GCI,BE
05/03/2019,BHX,GCI,BE
07/01/2019,BHX,GCI,BE
11/01/2019,BHX,GCI,BE
18/01/2019,BHX,GCI,BE
03/02/2019,BHX,GLA,BE
03/06/2019,BHX,GLA,BE
03/07/2019,BHX,GLA,BE
04/04/2019,BHX,GLA,BE
04/05/2019,BHX,GLA,BE
05/01/2019,BHX,GLA,BE
05/03/2019,BHX,GLA,BE
07/01/2019,BHX,GLA,BE
11/01/2019,BHX,GLA,BE
18/01/2019,BHX,GLA,BE
05/01/2019,BHX,GVA,BE
03/02/2019,BHX,HAJ,BE
03/06/2019,BHX,HAJ,BE
04/04/2019,BHX,HAJ,BE
07/01/2019,BHX,HAJ,BE
11/01/2019,BHX,HAJ,BE
18/01/2019,BHX,HAJ,BE
03/02/2019,BHX,HAM,BE
03/06/2019,BHX,HAM,BE
03/07/2019,BHX,HAM,BE
04/04/2019,BHX,HAM,BE
07/01/2019,BHX,HAM,BE
11/01/2019,BHX,HAM,BE
18/01/2019,BHX,HAM,BE
03/02/2019,BHX,INV,BE
03/06/2019,BHX,INV,BE
03/07/2019,BHX,INV,BE
04/04/2019,BHX,INV,BE
04/05/2019,BHX,INV,BE
05/03/2019,BHX,INV,BE
07/01/2019,BHX,INV,BE
11/01/2019,BHX,INV,BE
18/01/2019,BHX,INV,BE
03/06/2019,BHX,IOM,BE
03/07/2019,BHX,IOM,BE
04/04/2019,BHX,IOM,BE
04/05/2019,BHX,IOM,BE
05/01/2019,BHX,IOM,BE
03/06/2019,BHX,JER,BE
03/06/2019,BHX,JER,BE
03/07/2019,BHX,JER,BE
03/07/2019,BHX,JER,BE
04/04/2019,BHX,JER,BE
04/04/2019,BHX,JER,BE
04/05/2019,BHX,JER,BE
04/05/2019,BHX,JER,BE
05/01/2019,BHX,JER,BE
05/03/2019,BHX,JER,BE
07/01/2019,BHX,JER,BE
11/01/2019,BHX,JER,BE
18/01/2019,BHX,JER,BE
03/07/2019,BHX,LRH,BE
03/02/2019,BHX,LYS,BE
03/06/2019,BHX,LYS,BE
03/07/2019,BHX,LYS,BE
04/04/2019,BHX,LYS,BE
04/05/2019,BHX,LYS,BE
05/01/2019,BHX,LYS,BE
05/03/2019,BHX,LYS,BE
07/01/2019,BHX,LYS,BE
11/01/2019,BHX,LYS,BE
18/01/2019,BHX,LYS,BE
03/02/2019,BHX,MXP,BE
03/06/2019,BHX,MXP,BE
03/07/2019,BHX,MXP,BE
04/04/2019,BHX,MXP,BE
04/05/2019,BHX,MXP,BE
05/01/2019,BHX,MXP,BE
05/03/2019,BHX,MXP,BE
07/01/2019,BHX,MXP,BE
11/01/2019,BHX,MXP,BE
18/01/2019,BHX,MXP,BE
03/02/2019,BHX,NOC,BE
03/06/2019,BHX,NOC,BE
03/07/2019,BHX,NOC,BE
04/04/2019,BHX,NOC,BE
04/05/2019,BHX,NOC,BE
05/01/2019,BHX,NOC,BE
07/01/2019,BHX,NOC,BE
11/01/2019,BHX,NOC,BE
18/01/2019,BHX,NOC,BE
03/06/2019,BHX,NQY,BE
03/07/2019,BHX,NQY,BE
04/04/2019,BHX,NQY,BE
04/05/2019,BHX,NQY,BE
05/01/2019,BHX,NQY,BE
03/06/2019,BHX,NTE,BE
03/07/2019,BHX,NTE,BE
05/01/2019,BHX,NTE,BE
03/02/2019,BHX,STR,BE
03/06/2019,BHX,STR,BE
03/07/2019,BHX,STR,BE
04/04/2019,BHX,STR,BE
05/03/2019,BHX,STR,BE
07/01/2019,BHX,STR,BE
11/01/2019,BHX,STR,BE
18/01/2019,BHX,STR,BE
03/02/2019,BHX,TXL,BE
03/06/2019,BHX,TXL,BE
03/07/2019,BHX,TXL,BE
04/04/2019,BHX,TXL,BE
04/05/2019,BHX,TXL,BE
05/03/2019,BHX,TXL,BE
07/01/2019,BHX,TXL,BE
11/01/2019,BHX,TXL,BE
18/01/2019,BHX,TXL,BE
03/06/2019,BOD,BHX,BE
03/07/2019,BOD,BHX,BE
04/05/2019,BOD,BHX,BE
03/06/2019,BOD,SOU,BE
03/02/2019,CDG,BHX,BE
03/06/2019,CDG,BHX,BE
03/07/2019,CDG,BHX,BE
04/04/2019,CDG,BHX,BE
04/05/2019,CDG,BHX,BE
05/01/2019,CDG,BHX,BE
05/03/2019,CDG,BHX,BE
07/01/2019,CDG,BHX,BE
11/01/2019,CDG,BHX,BE
18/01/2019,CDG,BHX,BE
03/02/2019,CDG,CWL,BE
03/06/2019,CDG,CWL,BE
03/07/2019,CDG,CWL,BE
04/04/2019,CDG,CWL,BE
04/05/2019,CDG,CWL,BE
05/01/2019,CDG,CWL,BE
05/03/2019,CDG,CWL,BE
07/01/2019,CDG,CWL,BE
11/01/2019,CDG,CWL,BE
18/01/2019,CDG,CWL,BE
03/06/2019,CDG,DSA,BE
07/01/2019,CDG,DSA,BE
11/01/2019,CDG,DSA,BE
18/01/2019,CDG,DSA,BE
03/02/2019,CDG,EXT,BE
03/06/2019,CDG,EXT,BE
03/07/2019,CDG,EXT,BE
04/04/2019,CDG,EXT,BE
04/05/2019,CDG,EXT,BE
05/01/2019,CDG,EXT,BE
05/03/2019,CDG,EXT,BE
07/01/2019,CDG,EXT,BE
11/01/2019,CDG,EXT,BE
18/01/2019,CDG,EXT,BE
03/02/2019,CDG,MAN,BE
03/06/2019,CDG,MAN,BE
03/07/2019,CDG,MAN,BE
04/04/2019,CDG,MAN,BE
04/05/2019,CDG,MAN,BE
05/01/2019,CDG,MAN,BE
05/03/2019,CDG,MAN,BE
07/01/2019,CDG,MAN,BE
11/01/2019,CDG,MAN,BE
18/01/2019,CDG,MAN,BE
03/02/2019,CDG,SOU,BE
03/06/2019,CDG,SOU,BE
03/07/2019,CDG,SOU,BE
04/04/2019,CDG,SOU,BE
04/05/2019,CDG,SOU,BE
05/01/2019,CDG,SOU,BE
05/03/2019,CDG,SOU,BE
07/01/2019,CDG,SOU,BE
11/01/2019,CDG,SOU,BE
18/01/2019,CDG,SOU,BE
05/01/2019,CMF,BHX,BE
05/01/2019,CMF,CWL,BE
05/01/2019,CMF,EXT,BE
03/02/2019,CMF,MAN,BE
05/01/2019,CMF,SOU,BE
05/01/2019,CMF,SOU,BE
03/02/2019,CWL,BHD,BE
03/06/2019,CWL,BHD,BE
03/07/2019,CWL,BHD,BE
04/04/2019,CWL,BHD,BE
05/01/2019,CWL,BHD,BE
05/03/2019,CWL,BHD,BE
07/01/2019,CWL,BHD,BE
11/01/2019,CWL,BHD,BE
18/01/2019,CWL,BHD,BE
03/02/2019,CWL,CDG,BE
03/06/2019,CWL,CDG,BE
03/07/2019,CWL,CDG,BE
04/04/2019,CWL,CDG,BE
04/05/2019,CWL,CDG,BE
05/01/2019,CWL,CDG,BE
05/03/2019,CWL,CDG,BE
07/01/2019,CWL,CDG,BE
11/01/2019,CWL,CDG,BE
18/01/2019,CWL,CDG,BE
05/01/2019,CWL,CMF,BE
03/02/2019,CWL,DUB,BE
03/06/2019,CWL,DUB,BE
03/07/2019,CWL,DUB,BE
04/04/2019,CWL,DUB,BE
04/05/2019,CWL,DUB,BE
05/01/2019,CWL,DUB,BE
05/03/2019,CWL,DUB,BE
07/01/2019,CWL,DUB,BE
11/01/2019,CWL,DUB,BE
18/01/2019,CWL,DUB,BE
03/02/2019,CWL,EDI,BE
03/06/2019,CWL,EDI,BE
03/07/2019,CWL,EDI,BE
04/04/2019,CWL,EDI,BE
04/05/2019,CWL,EDI,BE
05/01/2019,CWL,EDI,BE
05/03/2019,CWL,EDI,BE
07/01/2019,CWL,EDI,BE
11/01/2019,CWL,EDI,BE
18/01/2019,CWL,EDI,BE
03/02/2019,CWL,FAO,BE
04/04/2019,CWL,FAO,BE
04/05/2019,CWL,FAO,BE
04/05/2019,CWL,FCO,BE
05/01/2019,CWL,FCO,BE
05/03/2019,CWL,FCO,BE
03/02/2019,CWL,GLA,BE
03/06/2019,CWL,GLA,BE
03/07/2019,CWL,GLA,BE
04/04/2019,CWL,GLA,BE
07/01/2019,CWL,GLA,BE
11/01/2019,CWL,GLA,BE
18/01/2019,CWL,GLA,BE
05/01/2019,CWL,GVA,BE
05/03/2019,CWL,GVA,BE
03/06/2019,CWL,JER,BE
04/05/2019,CWL,JER,BE
07/01/2019,CWL,JER,BE
11/01/2019,CWL,JER,BE
18/01/2019,CWL,JER,BE
03/06/2019,CWL,MUC,BE
07/01/2019,CWL,MUC,BE
03/07/2019,CWL,MXP,BE
04/05/2019,CWL,MXP,BE
07/01/2019,CWL,MXP,BE
03/02/2019,CWL,ORK,BE
04/04/2019,CWL,ORK,BE
05/03/2019,CWL,ORK,BE
04/05/2019,CWL,VCE,BE
03/07/2019,CWL,VRN,BE
04/05/2019,CWL,VRN,BE
03/06/2019,DSA,AGP,BE
04/05/2019,DSA,AGP,BE
05/01/2019,DSA,ALC,BE
05/03/2019,DSA,ALC,BE
03/02/2019,DSA,AMS,BE
03/06/2019,DSA,AMS,BE
03/07/2019,DSA,AMS,BE
04/04/2019,DSA,AMS,BE
04/05/2019,DSA,AMS,BE
05/01/2019,DSA,AMS,BE
05/03/2019,DSA,AMS,BE
07/01/2019,DSA,AMS,BE
11/01/2019,DSA,AMS,BE
18/01/2019,DSA,AMS,BE
03/02/2019,DSA,BHD,BE
03/06/2019,DSA,BHD,BE
03/07/2019,DSA,BHD,BE
04/04/2019,DSA,BHD,BE
07/01/2019,DSA,BHD,BE
11/01/2019,DSA,BHD,BE
18/01/2019,DSA,BHD,BE
03/06/2019,DSA,CDG,BE
07/01/2019,DSA,CDG,BE
11/01/2019,DSA,CDG,BE
18/01/2019,DSA,CDG,BE
03/02/2019,DSA,DUB,BE
