Date,WebSiteSource,OriginAirportCode,OriginAirportName,DestinationAirportCode,OriginAirportName,outbound_FlightCode,outbound_Carrier,outbound_DepartTime,outbound_ArrivalTime,outbound_FareAdultStandard,TotalFare,Currency,outbound_FareClass,TimeTaken,ThreadNo,outbound_TrueFareClass,IsOutboundFlightNumberMatch
07/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,14:20:00,15:15:00,276.29,276.29,EUR,,,,,
11/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,225.79,225.79,EUR,,,,,
18/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,165.19,165.19,EUR,,,,,
03/07/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,12:55:00,14:10:00,246.29,246.29,EUR,,,,,
04/05/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,19:55:00,21:10:00,160.44,160.44,EUR,,,,,
07/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,271.54,271.54,EUR,,,,,
11/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,221.04,221.04,EUR,,,,,
18/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,160.44,160.44,EUR,,,,,
05/01/2019,https://www.easyjet.com,ABZ,,GVA,,1490,U2,12:45:00,16:15:00,111.96,111.96,EUR,,,,,
03/02/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,37.22,37.22,EUR,,,,,
07/01/2019,https://www.easyjet.com,ABZ,,LGW,,872,U2,08:30:00,10:15:00,48.33,48.33,EUR,,,,,
11/01/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,41.26,41.26,EUR,,,,,
18/01/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,49.34,49.34,EUR,,,,,
03/02/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,21:05:00,22:25:00,31.16,31.16,EUR,,,,,
03/06/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,46.31,46.31,EUR,,,,,
03/07/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,39.24,39.24,EUR,,,,,
04/04/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,33.18,33.18,EUR,,,,,
05/03/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,31.16,31.16,EUR,,,,,
07/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,44.29,44.29,EUR,,,,,
11/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,44.29,44.29,EUR,,,,,
18/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,47.32,47.32,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,AMS,,7948,U2,12:00:00,17:25:00,296.9,296.9,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,AMS,,7948,U2,12:00:00,17:25:00,60.05,60.05,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BFS,,6732,U2,20:10:00,00:30:00,201.45,201.45,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,BFS,,6732,U2,17:00:00,21:20:00,76.21,76.21,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,11:10:00,15:00:00,51.97,51.97,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,11:45:00,15:40:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,12:15:00,16:10:00,108.53,108.53,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,BSL,,1250,U2,10:30:00,15:40:00,124.69,124.69,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BSL,,1250,U2,17:25:00,22:35:00,413.05,413.05,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,CDG,,3862,U2,16:00:00,21:00:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,CDG,,3862,U2,17:30:00,22:30:00,151.46,151.46,EUR,,,,,
03/02/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,145.9,145.9,EUR,,,,,
03/06/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:10:00,192.36,192.36,EUR,,,,,
03/07/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:05:00,83.28,83.28,EUR,,,,,
04/04/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:05:00,60.05,60.05,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,21:30:00,01:25:00,51.97,51.97,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,19:40:00,23:45:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,44.9,44.9,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,19:40:00,23:45:00,38.84,38.84,EUR,,,,,
07/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
11/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
18/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,60.05,60.05,EUR,,,,,
03/02/2019,https://www.easyjet.com,ACE,,LPL,,7154,U2,12:00:00,16:15:00,79.75,79.75,EUR,,,,,
03/07/2019,https://www.easyjet.com,ACE,,LPL,,7158,U2,19:50:00,23:55:00,57.53,57.53,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,LPL,,7158,U2,21:55:00,02:00:00,45.91,45.91,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,LPL,,7154,U2,18:45:00,23:00:00,46.92,46.92,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,LTN,,2026,U2,20:00:00,00:10:00,0.0,0.0,EUR,,,,,
07/01/2019,https://www.easyjet.com,ACE,,LTN,,2026,U2,11:55:00,16:05:00,0.0,0.0,EUR,,,,,
03/07/2019,https://www.easyjet.com,ACE,,MAN,,1972,U2,11:35:00,16:00:00,108.53,108.53,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,MAN,,1972,U2,11:35:00,16:00:00,64.6,64.6,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,MAN,,1972,U2,11:50:00,16:15:00,0.0,0.0,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,MXP,,2980,U2,20:05:00,00:55:00,118.13,118.13,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,MXP,,2980,U2,15:05:00,20:00:00,441.83,441.83,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,MXP,,2980,U2,15:05:00,20:00:00,103.99,103.99,EUR,,,,,
07/01/2019,https://www.easyjet.com,ACE,,SEN,,7452,U2,18:35:00,22:40:00,0.0,0.0,EUR,,,,,
11/01/2019,https://www.easyjet.com,ACE,,SEN,,7452,U2,18:35:00,22:40:00,46.92,46.92,EUR,,,,,
18/01/2019,https://www.easyjet.com,ACE,,SEN,,7452,U2,18:35:00,22:40:00,42.38,42.38,EUR,,,,,
03/02/2019,https://www.easyjet.com,ACE,,SXF,,4512,U2,11:50:00,17:45:00,64.6,64.6,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,VCE,,3312,U2,18:40:00,00:10:00,280.74,280.74,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,VCE,,3312,U2,17:10:00,22:40:00,118.13,118.13,EUR,,,,,
04/05/2019,https://www.easyjet.com,ADB,,LGW,,8850,U2,21:00:00,23:00:00,55.0,55.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,AGA,,AMS,,7932,U2,14:30:00,18:40:00,0.0,0.0,EUR,,,,,
04/04/2019,https://www.easyjet.com,AGA,,LGW,,8150,U2,11:10:00,14:50:00,750.0,750.0,EUR,,,,,
04/05/2019,https://www.easyjet.com,AGA,,LGW,,8150,U2,19:45:00,23:25:00,977.0,977.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,AGA,,LGW,,8150,U2,20:05:00,22:55:00,3780.0,3780.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,AGA,,LGW,,8150,U2,13:00:00,15:45:00,892.0,892.0,EUR,,,,,
04/04/2019,https://www.easyjet.com,AGA,,LYS,,4456,U2,19:10:00,23:25:00,432.0,432.0,EUR,,,,,
04/05/2019,https://www.easyjet.com,AGA,,LYS,,4456,U2,18:10:00,22:25:00,1240.0,1240.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,AGA,,LYS,,4492,U2,18:40:00,21:55:00,3442.0,3442.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,AGA,,MAN,,1906,U2,20:20:00,23:30:00,0.0,0.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,AGA,,TXL,,5826,U2,17:45:00,22:20:00,3311.0,3311.0,EUR,,,,,
03/02/2019,https://www.easyjet.com,AGP,,AMS,,7958,U2,11:30:00,14:45:00,52.98,52.98,EUR,,,,,
03/06/2019,https://www.easyjet.com,AGP,,AMS,,7958,U2,11:25:00,14:40:00,145.9,145.9,EUR,,,,,
03/07/2019,https://www.easyjet.com,AGP,,AMS,,7958,U2,10:45:00,14:00:00,55.0,55.0,EUR,,,,,
04/05/2019,https://www.easyjet.com,AGP,,AMS,,7958,U2,11:25:00,14:40:00,279.22,279.22,EUR,,,,,
03/02/2019,https://www.easyjet.com,AGP,,BFS,,6756,U2,11:40:00,14:00:00,44.9,44.9,EUR,,,,,
03/06/2019,https://www.easyjet.com,AGP,,BFS,,6756,U2,13:05:00,15:20:00,85.99,85.99,EUR,,,,,
03/07/2019,https://www.easyjet.com,AGP,,BFS,,6756,U2,13:05:00,15:20:00,68.13,68.13,EUR,,,,,
04/04/2019,https://www.easyjet.com,AGP,,BFS,,6756,U2,10:40:00,12:55:00,22.49,22.49,EUR,,,,,
04/04/2019,https://www.easyjet.com,AGP,,BFS,,6758,U2,17:10:00,19:25:00,29.75,29.75,EUR,,,,,
07/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,14:20:00,15:15:00,276.29,276.29,EUR,,,,,
11/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,225.79,225.79,EUR,,,,,
18/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,165.19,165.19,EUR,,,,,
03/07/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,12:55:00,14:10:00,246.29,246.29,EUR,,,,,
04/05/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,19:55:00,21:10:00,160.44,160.44,EUR,,,,,
